Country/Region,NOC,GDP_Growth,average_capita,population,GDP,Host,Age,Athlete,Gold,Medal
Boliva,BOL,3.8347350905,740.238987025,6939582.25,20547797340.466682,0,25.0,41,0,0
Botswana,BOT,7.5520018145000005,2859.38143675,1305275.5,14929122138.178299,0,27.73,11,0,0
Brazil,BRA,0.30553173375,3145.2716502499998,150309729.75,1891059726957.656,0,25.23,465,2,3
Bahrain,BRN,0.0,0.0,0.0,0.0,0,24.86,29,0,0
Bulgaria,BUL,-7.03125058525,1830.816473,8691948.0,63653446323.43762,0,22.31,471,3,16
Burkina Faso,BUR,2.7125085045,341.072556475,8934511.75,12189267053.713705,0,25.14,7,0,0
Central African Republic,CAF,-1.78671970875,479.58217105,2847554.5,5462545477.172789,0,23.59,41,0,0
Canada,CAN,0.0,21203.046264999997,27844150.75,2361523266247.5376,0,25.09,889,7,18
Cayman Islands,CAY,0.0,0.0,25914.75,0.0,0,27.1,21,0,0
Republic of Congo,CGO,2.151798898,1133.13168825,2390539.5,10835184237.853243,0,23.95,19,0,0
Chad,CHA,4.3107108105,285.192725525,6062751.5,6916210497.863129,0,21.46,13,0,0
Chile,CHI,0.0,0.0,140933.0,0.0,0,27.24,29,0,0
China,CHN,7.90347534925,332.092355775,1142396250.0,1517524247564.1033,0,22.07,787,16,53
Ivory Coast,CIV,0.4121152725,868.2113453500001,12150539.5,42196944984.09327,0,23.66,35,0,0
Cameroon,CMR,-3.7083551855000003,987.6124319749999,11960826.0,47250641817.15924,0,23.87,23,0,0
Democratic Republic of the Congo,COD,-6.6888553475000005,257.095980875,35329736.75,36332533295.18714,0,24.46,37,0,0
Cook Islands,COK,0.0,0.0,0.0,0.0,0,22.33,3,0,0
Colombia,COL,3.435657869,1454.3367332500002,33435240.5,194504393776.79242,0,24.4,121,0,1
Costa Rica,CRC,5.171449408999999,2103.012429,3161764.75,26596922267.29631,0,26.9,39,0,0
Croatia,CRO,0.0,0.0,4702367.0,0.0,0,24.67,91,0,4
Cuba,CUB,-6.135445475499999,2402.79349275,10627718.25,102144849015.52167,0,24.79,391,14,31
Cyprus,CYP,6.372731314000001,9671.665257,775347.5,29995605911.40723,0,24.24,37,0,0
Denmark,DEN,1.3677681045,26343.384755,5149800.25,542652677588.58075,0,24.95,287,1,6
Djibouti,DJI,0.0,757.7953802249999,594035.25,1800628672.5632114,0,25.92,13,0,0
Dominican Republic,DOM,2.77782451225,1216.240084725,7202530.0,35040022789.73742,0,22.79,61,0,0
Ecuador,ECU,2.7728362680000003,1547.613975,10352852.0,64088873745.2268,0,26.24,29,0,0
Egypt,EGY,4.046540385,713.950475975,56753630.5,162077126035.13712,0,23.75,165,0,0
El Salvador,ESA,3.57653930775,952.83397195,5307299.75,20227902004.48697,0,19.64,11,0,0
Spain,ESP,3.0209099467500002,13852.7349325,17426270.0,965605996688.707,1,24.29,1073,13,22
Estonia,EST,0.0,0.0,1557927.5,0.0,0,24.09,91,1,2
Ethiopia,ETH,-3.36113806125,244.427640725,48798434.75,47710745108.061424,0,21.74,35,1,3
Russia,EUN,0.0,0.0,0.0,0.0,0,24.37,1293,45,112
Fiji,FIJ,4.1596583339999995,1851.8630752499998,733261.25,5431597733.546636,0,22.77,71,0,0
Finland,FIN,-0.8558921542500001,25035.420827500002,5001633.5,500871997989.68695,0,25.49,259,1,5
France,FRA,2.478828667,21244.230525,58396610.0,4962364178874.081,0,25.52,971,8,29
Gabon,GAB,4.1899762745,5479.02651875,962891.25,21102826773.689342,0,23.67,9,0,0
Gambia,GAM,3.9850823135,508.17085940000004,972843.25,1977482361.6559563,0,23.53,15,0,0
UK,GBR,0.65232967025,18930.66166,251484250.0,19043052998275.42,0,25.87,1021,5,20
Equatorial Guinea,GEQ,0.0,0.0,0.0,0.0,0,21.6,15,0,0
Germany,GER,4.0457239640000004,22466.081475,79705701.5,7162699135684.118,0,24.61,1305,33,82
Ghana,GHA,4.393984006,402.01160460000006,14996847.0,24115626105.642788,0,21.56,81,0,2
Greece,GRE,1.8999999562499998,9702.922889250001,10251319.5,397871050486.2595,0,24.99,151,2,2
Grenada,GRN,2.0786849362499997,2988.75209575,96720.75,1156297377.0600474,0,21.33,9,0,0
Guatemala,GUA,3.8854350672500004,976.53457425,9174244.75,35835868764.02619,0,18.51,81,0,0
Guinea,GUI,3.55297726825,441.14698245,6442682.5,11368679775.033688,0,24.74,19,0,0
Guam,GUM,0.0,0.0,132062.75,0.0,0,23.53,89,0,0
Guyana,GUY,1.4579001575,502.52553217499997,745490.0,1498511035.924563,0,25.15,13,0,0
Haiti,HAI,-1.32617244675,407.21884,7108443.0,11578767650.66448,0,28.92,13,0,0
China Hong Kong,HKG,4.511122127749999,14756.402072500001,5735800.0,338559084029.78204,0,22.42,131,0,0
Honduras,HON,2.0684943332500003,994.033817625,5028317.25,19993269568.988567,0,21.36,53,0,0
Hungary,HUN,-0.7660450865,1771.3410357500002,10399612.0,73685037965.91252,0,24.08,701,11,31
Indonesia,INA,7.02705197925,607.2002652,56911904.5,138227694021.7483,0,23.53,101,2,5
India,IND,4.505006336499999,333.419758075,182988557.0,244048001621.7334,0,24.4,121,0,0
Individual Olympic Athletes,IOA,0.0,0.0,0.0,0.0,0,23.85,151,0,3
Iran,IRI,8.78117907725,0.0,17676563.0,0.0,0,25.32,87,0,3
Ireland,IRL,4.8883403337499995,13754.33351,70436.25,3875214694.77495,0,27.27,153,1,2
Iraq,IRQ,5.811099341249999,3570.85102283,3529412.0,50412017800.75391,0,25.87,15,0,0
Iceland,ISL,0.0,25436.631224999997,4345221603.25,442111198051094.0,0,27.23,61,0,0
Israel,ISR,0.0,0.0,56736657.25,0.0,0,23.4,87,0,2
Virgin Islands US Virgin Islands,ISV,0.0,0.0,1552671.0,0.0,0,29.21,67,0,0
Italy,ITA,1.93672035225,20603.1126825,2430935.25,200339331518.44522,0,25.15,861,6,20
Virgin Islands British,IVB,0.0,0.0,17701.5,0.0,0,37.14,7,0,0
Jamaica,JAM,4.541905179,1712.58717625,123734000.0,847621046664.4701,0,24.27,101,0,4
Jordan,JOR,1.2382961904999998,1224.7076705,16372076.5,80204030686.25117,0,23.44,9,0,0
Japan,JPN,3.5040792737500004,27631.058145,3675845.25,406269975339.08826,0,23.66,783,3,22
Kenya,KEN,2.3803131432500004,344.759786575,72925.5,100567119.26350066,0,26.67,105,2,8
South Korea,KOR,8.48178625875,7047.6796269999995,1879750.0,52991503115.412994,0,21.76,643,12,28
Saudi Arabia,KSA,0.0,0.0,0.0,0.0,0,23.27,33,0,0
Kuwait,KUW,0.0,0.0,4419425.0,0.0,0,21.9,71,0,0
Laos,LAO,7.6879091815,215.2870154,1859232716.0,1601074649446.7034,0,25.54,13,0,0
Latvia,LAT,0.0,0.0,513518026.75,0.0,0,25.28,79,0,3
Libya,LBA,0.0,5210.0030035,28989.25,604136318.2768495,0,26.14,7,0,0
Lesotho,LES,6.44092245175,379.4482451,2056024.75,3120619933.078665,0,20.93,15,0,0
Lebanon,LIB,12.491941689999999,1378.643942025,1723784.75,9505941611.770315,0,22.57,35,0,0
Liechtenstein,LIE,3.0385800485,48706.564920000004,3696585.25,720191877845.7578,0,26.67,15,0,0
Lithuania,LTU,0.0,0.0,4297240569.25,0.0,0,25.61,107,1,2
Luxembourg,LUX,6.3954589870000005,35043.671985,348132.5,48799364549.27205,0,31.67,15,0,0
Madagascar,MAD,0.5195797650000001,298.82033125,9441600.5,11285368755.760662,0,22.24,33,0,0
Morocco,MAR,2.84409105175,1210.8648939999998,13231817.5,64087773178.25937,0,23.66,87,1,3
Malaysia,MAS,9.124678349500002,2606.29107075,226418.75,2360452665.5015063,0,25.1,59,0,1
Malawi,MAW,2.1085594737499997,197.6297567,18270346.5,14443056534.478786,0,21.86,7,0,0
Maldives,MDV,0.0,1027.249382825,8558174.0,35165515838.43585,0,22.53,19,0,0
Mexico,MEX,4.259283743,3408.188697,97632.75,1331003340.028107,0,24.16,279,0,1
Mongolia,MGL,-4.2390687177499995,1125.770141175,607141.0,2734004837.1325226,0,24.99,75,0,2
Mali,MLI,2.5503835765,303.91281645000004,359088.75,436526693.4720398,0,24.22,9,0,0
Malta,MLT,6.354480263,7252.7640915,47684.25,1383370464.5204356,0,26.33,15,0,0
Monaco,MON,0.0,0.0,0.0,0.0,0,20.0,7,0,0
Mozambique,MOZ,1.5751832977499998,115.957935475,41589626.25,19290588788.507465,0,21.69,13,0,0
Mauritius,MRI,5.65000755925,2556.0630392499997,84724955.5,866249309022.6039,0,20.05,43,0,0
Mauritania,MTN,1.667123475,876.1773863500001,1066185.5,3736670499.017072,0,26.0,11,0,0
Myanmar,MYA,3.88063906025,0.0,1453065.0,0.0,0,26.78,9,0,0
Namibia,NAM,4.815272479,2016.7016417500001,9644.25,77798299.23378976,0,22.16,19,0,2
Nicaragua,NCA,-0.398412732,312.41452195,8165586.5,10204191211.355495,0,25.0,17,0,0
Netherlands,NED,3.1871365467499997,21081.20506,173239.5,14608389695.96748,0,25.43,513,2,15
Nepal,NEP,4.859810324,188.916744375,15013595.25,11345278143.975857,0,26.0,1,0,0
Nigeria,NGR,4.6714531945,505.46311314999997,279387346.5,564879991746.431,0,22.27,143,0,4
Niger,NIG,0.302457737,377.355862375,96457458.25,145595149361.71722,0,25.0,1,0,0
Norway,NOR,2.4074566825000003,27911.239485,0.0,0.0,0,23.59,227,2,7
New Zealand,NZL,0.07953587749999999,12749.654975000001,4222119.25,215322254803.22308,0,26.4,349,1,10
Oman,OMA,6.528599572499999,6024.59755275,17608170.0,424328551561.6239,0,26.89,9,0,0
Pakistan,PAK,5.54645532175,399.26230357500003,15267.0,24382150.3547181,0,23.78,55,0,1
Panama,PAN,6.82048147675,2744.0277095,4671149.5,51271054652.868286,0,27.69,13,0,0
Paraguay,PAR,4.062141239000001,1438.6755145000002,22293707.75,128293645869.37556,0,19.89,61,0,0
Peru,PER,-3.9039637519999997,1332.082732,62677711.5,333967588681.7113,0,24.68,41,0,1
Philippines,PHI,2.25038644775,738.00199095,38170542.75,112679746180.56836,0,24.32,69,0,1
Papua New Guinea,PNG,4.7410584685,797.7850070750001,4278794.0,13654230806.249872,0,23.95,37,0,0
Poland,POL,-1.125150046,1606.44282625,9975236.75,64098590068.73146,0,24.26,525,3,20
Portugal,POR,3.9622112185,8427.637714749999,967783052.0,32624499794924.24,0,24.99,229,0,0
North Korea,PRK,0.0,0.0,43090496.75,0.0,0,21.17,245,4,9
Puerto Rico,PUR,2.0907136682500003,8852.2385875,480180.0,17002671699.782999,0,24.62,201,0,1
Qatar,QAT,0.0,14766.310857499999,23039683.0,1360844484945.0325,0,20.73,59,0,1
Romania,ROU,-5.4213597955,1465.3651385,148155705.0,868408820707.5605,0,22.31,611,4,18
South Africa,RSA,-0.2695695697500001,3165.308476,1146246629.0,14512896681440.51,0,25.75,281,0,2
Rwanda,RWA,0.23063005300000006,313.23987295,163555.5,204928416.1610949,0,23.69,13,0,0
Samoa,SAM,-0.8035347232499999,774.17738605,24310.25,75281783.19688804,0,23.33,9,0,0
Senegal,SEN,1.8019241962499999,940.3956578750001,7602265.0,28596547984.060352,0,27.14,49,0,0
Seychelles,SEY,7.029065148999999,5288.288341,4317646.75,91331843874.32617,0,19.34,41,0,0
Singapore,SGP,8.326962888499999,13223.647200000001,29101.0,1539285428.6688,0,21.63,73,0,0
Sierra Leone,SLE,-3.1452377504999998,176.36197850000002,3085953.5,2176979459.275999,0,20.45,29,0,0
Slovenia,SLO,0.0,0.0,25354386.25,0.0,0,24.51,93,0,2
San Marino,SMR,0.0,0.0,120511.75,0.0,0,25.18,39,0,0
Solomon Islands,SOL,6.29245465525,695.765039475,7231939.5,20126922686.793247,0,28.0,1,0,0
Sri Lanka,SRI,4.4248188045,483.09564689999996,40421.5,78109802.7646734,0,23.74,31,0,0
Sudan,SUD,4.3875279805,447.2225552,408979.5,731619428.0576736,0,26.18,11,0,0
Switzerland,SUI,1.7614675540000002,37817.118095,12632419.0,1910886724594.0872,0,26.35,341,1,1
Suriname,SUR,0.6999997842500001,1092.96786025,8584310.25,37529500822.65857,0,21.59,17,0,1
Sweden,SWE,0.2762285167500001,30219.919892500002,6759443.25,817079334131.5995,0,26.34,503,1,12
Swaziland,SWZ,9.72892196,1269.454079075,833295.75,4231322755.6534457,0,21.63,19,0,0
Syria,SYR,0.0,0.0,0.0,0.0,0,23.71,17,0,0
Tanzania,TAN,3.366456349,182.80720717499997,56843465.25,41565580514.006645,0,26.0,17,0,0
Czech Republic,TCH,-3.030371175,2552.74441375,10330531.0,105484821205.2848,0,24.02,537,4,7
Tonga,TGA,1.25318465325,1285.1446735,1224943.0,6296915887.164442,0,23.89,9,0,0
Thailand,THA,9.9998294435,1612.17630375,749820.0,4835368144.3113,0,22.21,127,0,1
Togo,TOG,-0.21607219025000002,410.766692725,95139.5,156320551.05004054,0,24.06,17,0,0
Taiwan,TPE,0.0,0.0,0.0,0.0,0,24.81,75,0,2
Trinidad Trinidad and Tobago,TTO,3.4711602517499998,4107.90983675,8336106.5,136975895566.18246,0,25.36,25,0,0
Tunisia,TUN,5.351698180750001,1523.7339385,54375944.5,331417888290.56964,0,24.55,29,0,0
Turkey,TUR,3.82807617875,2598.57190425,3739719.0,38871714892.75962,0,23.05,107,2,6
United Arab Emirates,UAE,8.7177259045,26197.69152,57332399.0,6007906012414.226,0,21.61,57,0,0
Uganda,UGA,5.45213344625,225.440046725,51953825.0,46849890942.16989,0,22.13,15,0,0
Uruguay,URU,3.21791158025,3345.870297,20707279.75,277135488988.7783,0,27.51,35,0,0
USA,USA,2.2432000115,24126.75103,1967629749.5,189890052341631.06,0,25.67,1465,37,108
Vanuatu,VAN,4.74016138225,1228.4873240000002,19863286.75,97607183941.40865,0,21.67,15,0,0
Venezuela,VEN,3.42210501975,2586.38308,68714882.5,710892037768.7524,0,25.49,53,0,0
Vietnam,VIE,6.768080606250001,116.850142105,103880.75,48553921.59789591,0,23.58,19,0,0
Saint Vincent,VIN,2.6880220947499995,2295.35607375,516708174.0,4744116982188.6875,0,22.2,15,0,0
Yemen,YEM,3.62527299925,365.81801855,8138764.0,11909226079.704288,0,19.73,15,0,0
Zambia,ZAM,-0.81790734375,426.579288925,10541945.0,17987901607.94584,0,22.86,21,0,0
Zimbabwe,ZIM,2.17613292175,771.618486675,0.0,0.0,0,21.22,55,0,0
