Country/Region,NOC,GDP_Growth,average_capita,population,GDP,Host,Age,Athlete,Gold,Medal
Curacao Netherlands Antilles,AHO,0.0,0.0,145163.0,0.0,0,30.14,7,0,0
Albania,ALB,-8.73208594375,463.1663116,3257078.5,6034276141.746642,0,25.59,17,0,0
Algeria,ALG,1.45000111425,2033.1091264999998,26073465.5,212040802670.13153,0,23.79,71,1,2
Andorra,AND,3.0209098492499997,18532.050694999998,55627.0,4123529536.0430593,0,22.53,15,0,0
Angola,ANG,-2.0638496635,0.0,12052357.75,0.0,0,23.92,65,0,0
Antigua Antigua and Barbuda,ANT,2.8997607839999997,7443.062459499999,63090.5,1878346128.4043388,0,25.49,35,0,0
Argentina,ARG,1.8615596724999999,4819.06241525,32843776.75,633104840443.1472,0,24.3,221,0,1
Aruba,ARU,7.4841169285,12810.063925,64012.0,3279991247.8684,0,28.56,9,0,0
American Samoa,ASA,0.0,0.0,47956.75,0.0,0,26.2,5,0,0
Australia,AUS,1.861634666,18350.493037499997,17164625.0,1259917326215.1936,0,23.85,779,7,27
Austria,AUT,3.44196715275,21610.2529125,7723254.25,667605910600.162,0,26.19,253,0,2
Bahamas,BAH,-0.7190715095000002,12031.561020000001,258750.0,12452665655.7,0,24.51,35,0,1
Bangladesh,BAN,4.34668841425,294.7258316,104362571.5,123033382693.00783,0,24.47,17,0,0
Barbados,BAR,-2.325005228,7646.848456,261424.0,7996278843.045376,0,26.21,43,0,0
Belgium,BEL,2.49257463025,20384.929210000002,9988680.0,814474138805.3713,0,24.87,205,0,3
Benin,BEN,3.3263710277499996,352.270347475,5069952.5,7143975715.42698,0,22.78,9,0,0
Bermuda,BER,-0.7827659855,27182.358307500002,58945.75,6409137988.817273,0,23.6,57,0,0
Bhutan,BHU,5.48292524275,486.95058025000003,530534.0,1033375356.569414,0,22.22,23,0,0
Bosnia and Herzegovina,BIH,0.0,0.0,4393558.5,0.0,0,26.8,25,0,0
Belize,BIZ,11.9937423375,2301.0909949999996,189121.25,1740740821.3525746,0,22.57,35,0,0
